#TYPE System.Management.Automation.PSCustomObject
"Path","FileSystemRights","AccessControlType","IdentityReference","IsInherited","InheritanceFlags","PropagationFlags"
"C:\Users\administrator\Desktop\New folder","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"","FullControl","Allow","TPI\Administrator","True","ContainerInherit, ObjectInherit","None"
"C:\Users\administrator\Desktop\test","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"","FullControl","Allow","TPI\Administrator","True","ContainerInherit, ObjectInherit","None"
"C:\Users\administrator\Desktop\AD.txt","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\childitem.csv","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\exemple.csv","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\export.csv","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\folders.txt","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\rapport.csv","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\rapport.txt","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\results.csv","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\results.txt","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\results1.csv","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\rights.csv","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\rights.txt","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\rights16-03-2017.txt","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\test.csv","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\test1.csv","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\test\123.csv","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\test\123.txt","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\test\test$.txt","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\test\test.csv","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\test\testing.txt","ReadAndExecute, Synchronize","Allow","TPI\nvr","False","None","None"
"","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\test\txt.csv","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\test\txt.txt","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
"C:\Users\administrator\Desktop\test\txt1.csv","ReadAndExecute, Synchronize","Allow","TPI\nvr","False","None","None"
"","FullControl","Allow","NT AUTHORITY\SYSTEM","True","None","None"
"","FullControl","Allow","BUILTIN\Administrators","True","None","None"
"","FullControl","Allow","TPI\Administrator","True","None","None"
